"date","close","volume","open","high","low"
"2018/03/01","78.6100","1482898.0000","80.8300","81.0900","78.1600"
"2018/02/28","80.7100","988461.0000","81.2500","81.9300","80.1500"
"2018/02/27","81.2100","1139620.0000","81.5800","82.2800","81.1800"
"2018/02/26","81.4800","1029376.0000","80.1300","81.4900","79.8600"
"2018/02/23","80.1300","1066475.0000","78.9800","80.1600","78.5700"
"2018/02/22","78.5000","1493058.0000","80.1700","80.6000","78.1200"
"2018/02/21","79.9500","1735732.0000","80.3800","80.8400","79.7200"
"2018/02/20","80.1700","2299591.0000","77.3700","80.8800","77.3700"
"2018/02/16","77.3100","1387212.0000","78.3700","78.8200","77.2900"
"2018/02/15","78.5600","1393972.0000","78.9700","79.7200","77.4800"
"2018/02/14","78.8200","1736313.0000","78.8100","79.8300","78.4500"
"2018/02/13","79.3500","1128298.0000","78.8000","79.7000","78.5100"
"2018/02/12","79.1700","1611918.0000","78.3400","79.9500","77.9400"
"2018/02/09","77.8500","3361767.0000","77.7600","79.8000","75.5000"
"2018/02/08","76.8500","2632259.0000","78.0900","80.6200","76.8100"
"2018/02/07","78.0900","3294188.0000","78.7500","80.0200","78.0700"
"2018/02/06","79.0700","3670895.0000","74.9900","79.2500","74.1100"
"2018/02/05","75.5800","4716998.0000","80.2000","81.9700","75.3500"
"2018/02/02","80.7700","4078454.0000","82.4100","83.8900","80.6200"
"2018/02/01","83.3400","10685920.0000","79.3200","85.2400","77.8900"
"2018/01/31","71.7700","3745893.0000","71.5000","71.9500","69.8800"
"2018/01/30","70.6700","5946262.0000","67.4800","75.0800","67.4000"
"2018/01/29","68.1900","2277383.0000","67.3200","68.4500","67.3000"
"2018/01/26","67.9400","1922030.0000","66.4200","67.9400","66.1000"
"2018/01/25","66.0600","1903884.0000","67.4600","67.5200","65.7200"
"2018/01/24","66.9000","2798440.0000","66.7600","67.8850","65.8000"
"2018/01/23","67.3200","2028304.0000","66.4400","67.7900","66.1000"
"2018/01/22","66.3400","3147059.0000","68.1200","68.5200","65.5600"
"2018/01/19","68.4000","2816599.0000","70.5000","70.5000","67.1300"
"2018/01/18","70.7000","1233643.0000","70.8400","71.9900","70.5900"
"2018/01/17","70.8500","1023757.0000","69.4700","71.0900","69.3200"
"2018/01/16","69.3000","1188483.0000","71.3700","71.6100","68.9096"
"2018/01/12","71.0400","1622031.0000","69.1200","71.2300","68.7050"
"2018/01/11","68.8800","1022358.0000","68.0000","69.3900","67.6700"
"2018/01/10","67.7400","1597911.0000","68.7000","68.9800","67.3500"
"2018/01/09","69.0000","1508516.0000","69.1400","69.9700","68.4400"
"2018/01/08","68.8400","1389978.0000","67.8900","68.9700","67.2900"
"2018/01/05","68.0300","1556352.0000","69.0600","69.4383","67.9200"
"2018/01/04","68.7200","1346925.0000","68.6900","69.8800","68.0900"
"2018/01/03","68.3900","1552777.0000","69.0800","70.0075","68.1400"
"2018/01/02","68.8800","1327258.0000","67.0600","68.9700","66.0800"
"2017/12/29","66.6000","714726.0000","67.3600","67.5700","66.5800"
"2017/12/28","67.3600","850267.0000","67.5100","67.9000","66.8500"
"2017/12/27","67.2600","1135414.0000","66.2500","67.9900","65.9800"
"2017/12/26","65.9000","1260266.0000","65.8400","67.6900","64.5300"
"2017/12/22","67.6900","877754.0000","67.4900","68.2100","67.3500"
"2017/12/21","67.4800","913391.0000","67.2500","67.5500","67.0600"
"2017/12/20","67.0700","844946.0000","67.2200","67.5200","66.1300"
"2017/12/19","66.7900","878480.0000","66.7500","67.2800","66.3650"
"2017/12/18","67.0500","1824122.0000","66.0000","67.3300","65.3000"
"2017/12/15","65.5300","4164832.0000","65.5700","66.1500","64.7200"
"2017/12/14","65.2300","1969889.0000","67.2000","67.3300","65.2100"
"2017/12/13","67.2900","1537802.0000","68.1400","69.0850","67.0600"
"2017/12/12","67.6900","1902868.0000","68.1100","68.4600","66.5200"
"2017/12/11","68.6200","1348122.0000","67.6400","68.9000","67.6400"
"2017/12/08","67.8800","2053982.0000","69.2800","69.3700","67.6600"
"2017/12/07","68.7200","1864338.0000","71.5300","71.5600","68.3500"
"2017/12/06","70.1000","3571480.0000","70.0000","71.0100","67.5300"
"2017/12/05","71.7800","1862397.0000","72.0400","73.2600","70.8300"
"2017/12/04","72.4000","2211708.0000","74.7600","75.3100","71.8500"
"2017/12/01","74.2100","2122131.0000","76.0900","76.3000","71.6600"
"2017/11/30","76.5800","1191234.0000","76.8900","77.4900","76.1750"
"2017/11/29","76.6900","1501563.0000","78.9700","79.1050","75.2700"
"2017/11/28","79.0300","1119990.0000","79.9900","80.0000","77.7939"
"2017/11/27","79.7400","905869.0000","80.0000","80.4300","79.2210"
"2017/11/24","80.6200","238694.0000","79.7500","80.6500","79.7500"
"2017/11/22","79.6100","637276.0000","80.5400","80.7133","79.3000"
"2017/11/21","80.5900","1137519.0000","79.4700","80.8400","79.4000"
"2017/11/20","79.1400","709150.0000","77.6000","79.2300","77.6000"
"2017/11/17","77.3300","926782.0000","78.0400","78.3968","76.6800"
"2017/11/16","77.9100","868994.0000","77.0500","78.1600","76.9900"
"2017/11/15","76.6800","1092173.0000","78.2600","78.3700","76.3300"
"2017/11/14","78.4100","783392.0000","79.0000","79.7800","78.0700"
"2017/11/13","79.0800","1006485.0000","79.1600","79.9200","78.5600"
"2017/11/10","79.5700","928420.0000","81.2000","81.2000","79.0300"
"2017/11/09","79.4700","1462879.0000","80.4800","80.9600","78.3200"
"2017/11/08","80.8200","1691814.0000","78.4800","80.9400","78.1100"
"2017/11/07","78.4600","1758389.0000","77.5800","79.9800","76.7000"
"2017/11/06","78.4900","2981340.0000","73.7800","78.9700","73.4700"
"2017/11/03","73.8400","2903150.0000","74.3500","74.4800","71.7300"
"2017/11/02","74.3000","2611724.0000","71.7300","74.8100","71.1900"
"2017/11/01","74.4600","1950007.0000","76.1600","76.5900","73.8600"
"2017/10/31","75.8100","1416817.0000","76.4500","77.0550","75.2800"
"2017/10/30","76.2500","1619329.0000","74.0200","76.5900","73.7500"
"2017/10/27","73.7200","1237364.0000","72.7400","73.7600","71.2000"
"2017/10/26","71.5600","595058.0000","72.1300","72.5200","71.4450"
"2017/10/25","71.7800","1459816.0000","71.8000","73.3900","71.3100"
"2017/10/24","71.4400","1207033.0000","70.1100","71.6600","69.7700"
"2017/10/23","69.8000","1163832.0000","70.0800","70.5300","69.5000"
"2017/10/20","69.9200","779568.0000","70.1300","70.5500","69.7200"
"2017/10/19","69.6800","1596155.0000","71.5000","71.5000","69.1200"
"2017/10/18","72.0200","801808.0000","72.2700","72.3450","70.9100"
"2017/10/17","72.2700","1019870.0000","72.5200","73.1900","71.5800"
"2017/10/16","72.5300","720730.0000","72.2700","72.7400","72.1300"
"2017/10/13","72.3900","663596.0000","72.5800","73.0300","72.0800"
"2017/10/12","72.3600","1239708.0000","72.7200","73.0700","72.2601"
"2017/10/11","72.9400","839472.0000","71.9000","73.0000","71.9000"
"2017/10/10","71.8400","986320.0000","72.7500","72.8100","71.0100"
"2017/10/09","72.6600","418153.0000","72.6500","72.9400","72.1100"
"2017/10/06","72.6900","607207.0000","71.6400","72.8000","71.6400"
"2017/10/05","71.7000","759852.0000","72.2400","72.6800","71.1100"
"2017/10/04","72.1600","610688.0000","71.0200","72.1700","70.5280"
"2017/10/03","71.3900","428588.0000","71.5200","71.7600","71.0200"
"2017/10/02","71.2900","795569.0000","70.8400","72.0600","70.8400"
"2017/09/29","70.6800","1019021.0000","70.2000","71.0900","69.2200"
"2017/09/28","70.2000","883452.0000","70.2500","70.7200","69.5700"
"2017/09/27","70.2500","1041532.0000","69.2300","70.7700","68.6500"
"2017/09/26","68.2400","1113202.0000","69.0000","69.3700","67.6975"
"2017/09/25","68.6600","1932816.0000","70.6400","70.6400","68.2600"
"2017/09/22","71.2000","1035569.0000","70.3800","71.5700","70.2300"
"2017/09/21","70.6100","1653568.0000","70.2100","70.7200","69.0600"
"2017/09/20","70.3200","2167749.0000","74.3000","74.3200","69.9300"
"2017/09/19","74.3200","645871.0000","74.4400","74.6100","73.6350"
"2017/09/18","74.3500","1000831.0000","75.5000","76.4700","74.2000"
"2017/09/15","75.4900","1440944.0000","73.3700","75.5500","73.2250"
"2017/09/14","73.4800","645265.0000","72.5600","74.6900","72.5600"
"2017/09/13","73.0100","522644.0000","72.9000","73.2400","72.3100"
"2017/09/12","72.9500","915007.0000","72.9000","73.6400","72.5500"
"2017/09/11","72.6300","780425.0000","72.3400","73.1600","72.1400"
"2017/09/08","71.6100","707064.0000","73.2900","73.4000","71.4400"
"2017/09/07","73.2200","2006594.0000","73.4100","75.7100","73.1400"
"2017/09/06","73.3200","725009.0000","73.2700","73.9750","72.0350"
"2017/09/05","73.3800","869868.0000","72.9300","73.9900","72.2400"
"2017/09/01","73.2600","703005.0000","73.3900","74.2300","73.0700"
"2017/08/31","73.2200","810963.0000","73.1900","73.6600","72.8200"
"2017/08/30","73.1200","831993.0000","70.7600","73.1700","70.6200"
"2017/08/29","70.4600","510672.0000","69.9100","70.6900","69.3100"
"2017/08/28","70.6000","721342.0000","71.1500","71.1500","70.0600"
"2017/08/25","70.9300","837493.0000","70.5200","71.2600","70.1998"
"2017/08/24","70.2500","827546.0000","70.9900","71.2000","70.1300"
"2017/08/23","70.6700","752553.0000","70.5300","70.8900","70.0501"
"2017/08/22","71.0100","806923.0000","69.7400","71.1100","69.7100"
"2017/08/21","69.3300","827654.0000","69.6200","69.9800","68.5200"
"2017/08/18","69.6700","1284368.0000","71.7100","71.8100","69.6001"
